Feature	Module	Term
AHSG	cluster_150	['GO:0030502', 'GO:0050727']
BCOR	cluster_150	['GO:0030502']
CISH	cluster_150	['GO:0038111']
CMA1	cluster_150	['GO:0050727']
CP	cluster_150	['GO:0005507']
CYLD	cluster_150	['GO:0016579', 'GO:0050727']
F5	cluster_150	['GO:0005507']
HDAC5	cluster_150	['GO:0006338']
IL20	cluster_150	['GO:0050727']
IL7R	cluster_150	['GO:0038111']
JAK3	cluster_150	['GO:0038111']
KDM5C	cluster_150	['GO:0006338']
KLF10	cluster_150	['GO:0001046']
NPM1	cluster_150	['GO:0001046', 'GO:0006338']
PSMA6	cluster_150	['GO:0016579', 'GO:0050727']
RAPGEF6	cluster_150	['GO:0007265']
RB1	cluster_150	['GO:0006338', 'GO:0007265']
SMARCC1	cluster_150	['GO:0006338']
STATH	cluster_150	['GO:0030502']
TAF4	cluster_150	['GO:0001046']
TP53	cluster_150	['GO:0001046', 'GO:0005507', 'GO:0007265', 'GO:0016579']
USP22	cluster_150	['GO:0016579']
USP24	cluster_150	['GO:0016579']
USP28	cluster_150	['GO:0007265', 'GO:0016579']
USP8	cluster_150	['GO:0007265', 'GO:0016579']
ISL1	cluster_151	['GO:0000987']
ISL2	cluster_151	['GO:0000987']
NFE2	cluster_151	['GO:0000987']
PDC	cluster_151	['GO:0008277']
PDCL	cluster_151	['GO:0008277']
RGS16	cluster_151	['GO:0008277']
TCF3	cluster_151	['GO:0000987']
AKT1	cluster_153	['GO:1903078']
FZR1	cluster_153	['GO:0070979']
GPSM2	cluster_153	['GO:0060236']
IFNG	cluster_153	['GO:0060334', 'GO:1902004', 'GO:1903078']
IFNGR1	cluster_153	['GO:0060334', 'GO:1902004']
PARP3	cluster_153	['GO:0060236']
PRKCI	cluster_153	['GO:1903078']
UBE2E3	cluster_153	['GO:0070979']
ITGAX	cluster_154	['GO:0030667']
PAM	cluster_154	['GO:0030667']
RAB5B	cluster_154	['GO:0030667']
TMED10	cluster_154	['GO:0030667']
HPCA	cluster_155	['GO:0071277']
RASGRP2	cluster_155	['GO:0071277']
CNR2	cluster_156	['GO:0030425']
KPNA1	cluster_156	['GO:0030425']
STMN1	cluster_156	['GO:0031175']
STX3	cluster_156	['GO:0030425', 'GO:0031175']
ACKR4	cluster_157	['GO:0055037']
HAVCR2	cluster_157	['GO:0032703']
RAB11FIP3	cluster_157	['GO:0055037']
TBX21	cluster_157	['GO:0032703']
ANAPC7	cluster_158	['GO:0005819']
CDK5RAP2	cluster_158	['GO:0008017']
EIF2AK2	cluster_158	['GO:0043666']
HTT	cluster_158	['GO:0043666']
IL1R1	cluster_158	['GO:0070555']
KIF2C	cluster_158	['GO:0005819', 'GO:0008017']
KIF4A	cluster_158	['GO:0008017']
NUSAP1	cluster_158	['GO:0008017']
PPP1R2	cluster_158	['GO:0043666']
PRKCA	cluster_158	['GO:0070555']
RAE1	cluster_158	['GO:0008017']
SIRT2	cluster_158	['GO:0005819']
TERF1	cluster_158	['GO:0005819', 'GO:0008017']
TNFRSF11A	cluster_158	['GO:0070555']
ADORA1	cluster_159	['GO:1901216']
CAPN2	cluster_159	['GO:1901216']
CEBPG	cluster_159	['GO:0043565']
E2F3	cluster_159	['GO:0000977', 'GO:0043565']
EGR1	cluster_159	['GO:0000977', 'GO:0043565', 'GO:1901216']
EIF2S1	cluster_159	['GO:0010494', 'GO:1901216']
HINFP	cluster_159	['GO:0000977', 'GO:0006351']
ITGA3	cluster_159	['GO:0030111']
LEF1	cluster_159	['GO:0000977', 'GO:0030111', 'GO:0043565']
NXF1	cluster_159	['GO:0010494']
POLR2E	cluster_159	['GO:0006351']
PRDM16	cluster_159	['GO:0043565']
RRAGC	cluster_159	['GO:0006351']
SP3	cluster_159	['GO:0000977']
TIA1	cluster_159	['GO:0010494']
CENPE	cluster_16	['GO:0005524']
EP400	cluster_16	['GO:0004386', 'GO:0005524']
SMARCA1	cluster_16	['GO:0004386', 'GO:0005524']
TAP2	cluster_16	['GO:0005524']
UPF1	cluster_16	['GO:0004386', 'GO:0005524']
ID3	cluster_160	['GO:0001656']
NKX3-1	cluster_160	['GO:0001656', 'GO:2001235']
NUAK1	cluster_160	['GO:0042149']
RPS3	cluster_160	['GO:2001235']
SESN1	cluster_160	['GO:0042149']
SLC2A1	cluster_160	['GO:0042149']
B4GALT1	cluster_161	['GO:0030175']
BAIAP2	cluster_161	['GO:0030175']
BCL2L1	cluster_161	['GO:0032465']
KIF20A	cluster_161	['GO:0032465']
PLK2	cluster_161	['GO:0032465']
VCAM1	cluster_161	['GO:0030175']
VIL1	cluster_161	['GO:0030175']
ACKR3	cluster_163	['GO:0016493']
CCR7	cluster_163	['GO:0016493', 'GO:0032695']
CLEC7A	cluster_163	['GO:0032731', 'GO:0032755']
FPR1	cluster_163	['GO:0007263']
LPL	cluster_163	['GO:0001523', 'GO:0032731', 'GO:0032755']
PDX1	cluster_163	['GO:0007263']
RHO	cluster_163	['GO:0001523']
TLR8	cluster_163	['GO:0032695', 'GO:0032731', 'GO:0032755']
BID	cluster_164	['GO:0005741']
BMF	cluster_164	['GO:0005741', 'GO:0043276']
DDR1	cluster_164	['GO:0060444']
HAX1	cluster_164	['GO:0005741']
