HGNC ID	Approved symbol	Accession numbers	entrezid
HGNC:55478	MIRLET7IHG		120766144.0
HGNC:31633	MIRN321		
HGNC:32816	MIRN560		
HGNC:32821	MIRN565		
HGNC:32850	MIRN594		
HGNC:33633	MIRN672		
HGNC:33646	MIRN674		
HGNC:33142	MIRN768		
HGNC:33144	MIRN801		
HGNC:33637	MIRN871		
HGNC:33657	MIRN872		
HGNC:24967	MIS12	AL136906	79003.0
HGNC:1286	MIS18A	AF231921	54069.0
HGNC:40106	MIS18A-AS1	BG209386	100874202.0
HGNC:20190	MIS18BP1	AB067490	55320.0
